subject_id,property_id,object_id,reference_uri,reference_supporting_text,reference_date,property_label,property_description,property_uri
Xenbase:XB-GENE-5875739,RO:HOM0000017,ZFIN:ZDB-GENE-041001-149,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000017
MGI:1891369,RO:HOM0000020,ZFIN:ZDB-GENE-050522-279,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
ENSEMBL:ENSMODG00000014765,RO:HOM0000020,HGNC:10541,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
ENSEMBL:ENSMODG00000018610,RO:HOM0000017,ZFIN:ZDB-GENE-070911-2,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000017
MGI:94909,RO:0002200,HP:0005120,https://www.ncbi.nlm.nih.gov/pubmed/19535499,This edge comes from the Monarch Knowledge Graph 2019.,NA,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
FlyBase:FBgn0001991,RO:HOM0000017,RGD:2245,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000017
ENSEMBL:ENSPTRG00000013400,RO:HOM0000017,WormBase:WBGene00006062,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000017
dictyBase:DDB_G0275169,RO:HOM0000017,ENSEMBL:ENSGALG00000004980,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000017
FlyBase:FBgn0025866,RO:HOM0000017,ENSEMBL:ENSCAFG00000005318,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000017
ZFIN:ZDB-GENE-010426-1,RO:0002200,ZP:0001496,https://www.ncbi.nlm.nih.gov/pubmed/21251213,This edge comes from the Monarch Knowledge Graph 2019.,NA,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
MGI:1917979,RO:HOM0000017,ZFIN:ZDB-GENE-070705-456,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000017
ENSEMBL:ENSACAG00000010598,RO:HOM0000017,ZFIN:ZDB-GENE-130530-619,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000017
ClinVarVariant:803881,GENO:0000840,MONDO:0010679,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,pathogenic_for_condition,NA,http://purl.obolibrary.org/obo/GENO_0000840
ENSEMBL:ENSGALG00000009360,RO:HOM0000017,FlyBase:FBgn0260450,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000017
ENSEMBL:ENSCAFG00000009088,RO:HOM0000020,ENSEMBL:ENSOANG00000013754,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
WormBase:WBGene00001187,RO:HOM0000017,ENSEMBL:ENSFCAG00000004605,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000017
HGNC:13740,RO:HOM0000020,ENSEMBL:ENSACAG00000012344,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
ENSEMBL:ENSOANG00000031935,RO:HOM0000020,ENSEMBL:ENSSSCG00000036418,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
HGNC:1480,RO:0002200,HP:0001371,"http://purl.obolibrary.org/obo/MONDO_0009675|https://www.ncbi.nlm.nih.gov/pubmed/19556129,20694146,16372320,19285864,28403181,27023906,16141003,10679950,29970176,9150160,19015733,18334579,27708273,12461690,11371436,25326637,21984748,24846670,25079074,27066545,22006685,9642272,21204801,27142102,15138196,10330340,14578192,17318636,18563459,15733273,27234031,23677060,27066573,25252031,17979987,9771675,22443334,9266733,9762961,16971480,15351423,16411092,19048948,7720071,11053681,30056071,20044116,16100770,10567047,27262448,15689361,7318636,26632398,9777948,26060040,18055493,30107846,22926650,22194990,17157502,23666804,14981715,19226146,17994539,23169433,16650086,17236769,11525884,15725583,27431290,27011640,15884399,26886200,25135358,20635405,21624972,30028523,11731278,8624690,18854869,19364062,16627476,23821418,27020652,18337726,22378277,10102422,22057634,15221789,16607617,27447704,27055500,26404900",This edge comes from the Monarch Knowledge Graph 2019.,NA,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
Coriell:GM05162,RO:0003301,MONDO:0010679,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,has role in modeling,NA,http://purl.obolibrary.org/obo/RO_0003301
ENSEMBL:ENSMODG00000013388,RO:HOM0000020,ZFIN:ZDB-GENE-050522-279,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
